Date,Close,Volume,Open,High,Low
19-07-24,$239.20 ,87403900,$247.79 ,$249.44 ,$236.83 
22-07-24,$251.51 ,101225400,$244.21 ,$253.21 ,$243.75 
23-07-24,$246.38 ,111928200,$253.60 ,$255.76 ,$245.63 
24-07-24,$215.99 ,167942900,$225.42 ,$225.99 ,$214.71 
25-07-24,$220.25 ,100636500,$216.80 ,$226.00 ,$216.23 
26-07-24,$219.80 ,94604150,$221.19 ,$222.28 ,$215.33 
29-07-24,$232.10 ,129201800,$224.90 ,$234.27 ,$224.70 
30-07-24,$222.62 ,100560300,$232.25 ,$232.41 ,$220.00 
31-07-24,$232.07 ,67497010,$227.90 ,$234.68 ,$226.79 
01-08-24,$216.86 ,83861900,$227.69 ,$231.87 ,$214.33 
02-08-24,$207.67 ,82880120,$214.88 ,$216.13 ,$205.78 
05-08-24,$198.88 ,100308800,$185.22 ,$203.88 ,$182.00 
06-08-24,$200.64 ,73783940,$200.75 ,$202.90 ,$192.67 
07-08-24,$191.76 ,71159780,$200.77 ,$203.49 ,$191.48 
08-08-24,$198.84 ,65033870,$195.70 ,$200.70 ,$192.04 
09-08-24,$200.00 ,58648270,$197.05 ,$200.88 ,$195.11 
12-08-24,$197.49 ,64044900,$199.02 ,$199.26 ,$194.67 
13-08-24,$207.83 ,76247390,$198.47 ,$208.49 ,$197.06 
14-08-24,$201.38 ,70250010,$207.39 ,$208.44 ,$198.75 
15-08-24,$214.14 ,89848530,$205.02 ,$215.88 ,$204.82 
16-08-24,$216.12 ,88765120,$211.15 ,$219.80 ,$210.80 
19-08-24,$222.72 ,76435220,$217.07 ,$222.98 ,$214.09 
20-08-24,$221.10 ,74001180,$224.88 ,$228.22 ,$219.56 
21-08-24,$223.27 ,70145960,$222.67 ,$224.66 ,$218.86 
22-08-24,$210.66 ,79514480,$223.82 ,$224.80 ,$210.32 
23-08-24,$220.32 ,81525210,$214.46 ,$221.48 ,$214.21 
26-08-24,$213.21 ,59301190,$218.75 ,$219.09 ,$211.01 
27-08-24,$209.21 ,62821390,$213.25 ,$215.66 ,$206.94 
28-08-24,$205.75 ,64116350,$209.72 ,$211.84 ,$202.59 
29-08-24,$206.28 ,62308820,$209.80 ,$214.89 ,$205.97 
30-08-24,$214.11 ,63370610,$208.63 ,$214.57 ,$207.03 
03-09-24,$210.60 ,76714220,$215.26 ,$219.90 ,$209.64 
04-09-24,$219.41 ,80651770,$210.59 ,$222.22 ,$210.57 
05-09-24,$230.17 ,119355000,$223.49 ,$235.00 ,$222.25 
06-09-24,$210.73 ,112177000,$232.60 ,$233.60 ,$210.51 
09-09-24,$216.27 ,67443520,$216.20 ,$219.87 ,$213.67 
10-09-24,$226.17 ,78891140,$220.07 ,$226.40 ,$218.64 
11-09-24,$228.13 ,83548630,$224.55 ,$228.47 ,$216.80 
12-09-24,$229.81 ,72020040,$224.66 ,$231.45 ,$223.83 
13-09-24,$230.29 ,59515110,$228.00 ,$232.67 ,$226.32 
16-09-24,$226.78 ,54323000,$229.30 ,$229.96 ,$223.53 
17-09-24,$227.87 ,66761640,$229.45 ,$234.57 ,$226.55 
18-09-24,$227.20 ,78010200,$230.09 ,$235.68 ,$226.88 
19-09-24,$243.92 ,102694600,$234.00 ,$244.24 ,$232.13 
20-09-24,$238.25 ,99879070,$241.52 ,$243.99 ,$235.92 
23-09-24,$250.00 ,86927190,$242.61 ,$250.00 ,$241.92 
24-09-24,$254.27 ,88491000,$254.08 ,$257.19 ,$249.05 
25-09-24,$257.02 ,65034320,$252.54 ,$257.05 ,$252.28 
26-09-24,$254.22 ,67142190,$260.60 ,$261.75 ,$251.53 
27-09-24,$260.46 ,70988070,$257.38 ,$260.70 ,$254.12 
30-09-24,$261.63 ,80873380,$259.04 ,$264.86 ,$255.77 
01-10-24,$258.02 ,87397610,$262.67 ,$263.98 ,$248.53 
02-10-24,$249.02 ,93983930,$247.55 ,$251.16 ,$241.50 
03-10-24,$240.66 ,80729240,$244.48 ,$249.79 ,$237.81 
04-10-24,$250.08 ,86726290,$246.69 ,$250.96 ,$244.58 
07-10-24,$240.83 ,68113270,$249.00 ,$249.83 ,$240.70 
08-10-24,$244.50 ,56303160,$243.56 ,$246.21 ,$240.56 
09-10-24,$241.05 ,66289530,$243.82 ,$247.43 ,$239.51 
10-10-24,$238.77 ,83087060,$241.81 ,$242.79 ,$232.34 
11-10-24,$217.80 ,142628900,$220.13 ,$223.34 ,$214.38 
14-10-24,$219.16 ,86291920,$220.13 ,$221.91 ,$213.74 
15-10-24,$219.57 ,62988790,$220.01 ,$224.26 ,$217.12 
16-10-24,$221.33 ,49632820,$221.40 ,$222.82 ,$218.93 
17-10-24,$220.89 ,50791780,$221.59 ,$222.08 ,$217.90 
18-10-24,$220.70 ,49611870,$220.71 ,$222.28 ,$219.23 
21-10-24,$218.85 ,47328990,$218.90 ,$220.48 ,$215.73 
22-10-24,$217.97 ,43268740,$217.31 ,$218.22 ,$215.26 
23-10-24,$213.65 ,80938890,$217.13 ,$218.72 ,$212.11 
24-10-24,$260.48 ,204491900,$244.68 ,$262.12 ,$242.65 
25-10-24,$269.19 ,161611900,$256.01 ,$269.49 ,$255.32 
28-10-24,$262.51 ,107653600,$270.00 ,$273.54 ,$262.24 
29-10-24,$259.52 ,80521750,$264.51 ,$264.98 ,$255.51 
30-10-24,$257.55 ,53993580,$258.04 ,$263.35 ,$255.82 
31-10-24,$249.85 ,66575290,$257.99 ,$259.75 ,$249.25 
01-11-24,$248.98 ,57544760,$252.04 ,$254.00 ,$246.63 
04-11-24,$242.84 ,68802350,$244.56 ,$248.90 ,$238.88 
05-11-24,$251.44 ,69282510,$247.34 ,$255.28 ,$246.21 
06-11-24,$288.53 ,165228700,$284.67 ,$289.59 ,$275.62 
07-11-24,$296.91 ,117309200,$288.89 ,$299.75 ,$285.52 
08-11-24,$321.22 ,204782800,$299.14 ,$328.71 ,$297.66 
11-11-24,$350.00 ,210521600,$346.30 ,$358.64 ,$336.00 
12-11-24,$328.49 ,155726000,$342.74 ,$345.84 ,$323.31 
13-11-24,$330.24 ,125405600,$335.85 ,$344.60 ,$322.50 
14-11-24,$311.18 ,120726100,$327.69 ,$329.98 ,$310.37 
15-11-24,$320.72 ,114440300,$310.57 ,$324.68 ,$309.22 
18-11-24,$338.74 ,126547500,$340.73 ,$348.55 ,$330.01 
19-11-24,$346.00 ,88852450,$335.76 ,$347.38 ,$332.75 
20-11-24,$342.03 ,66340650,$345.00 ,$346.60 ,$334.30 
21-11-24,$339.64 ,58011720,$343.81 ,$347.99 ,$335.28 
22-11-24,$352.56 ,89140720,$341.09 ,$361.53 ,$337.70 
25-11-24,$338.59 ,95890900,$360.14 ,$361.93 ,$338.20 
26-11-24,$338.23 ,62295860,$341.00 ,$346.96 ,$335.66 
27-11-24,$332.89 ,57896440,$341.80 ,$342.55 ,$326.59 
29-11-24,$345.16 ,37167620,$336.08 ,$345.45 ,$334.65 
02-12-24,$357.09 ,77986480,$352.38 ,$360.00 ,$351.15 
03-12-24,$351.42 ,58267200,$351.80 ,$355.69 ,$348.20 
04-12-24,$357.93 ,50810870,$353.00 ,$358.10 ,$348.60 
05-12-24,$369.49 ,81403570,$359.87 ,$375.43 ,$359.50 
06-12-24,$389.22 ,81455830,$377.42 ,$389.49 ,$370.80 
09-12-24,$389.79 ,96359170,$397.61 ,$404.80 ,$378.01 
10-12-24,$400.99 ,97563580,$392.68 ,$409.73 ,$390.85 
11-12-24,$424.77 ,104287600,$409.70 ,$424.88 ,$402.38 
12-12-24,$418.10 ,87752230,$424.84 ,$429.30 ,$415.00 
13-12-24,$436.23 ,89000160,$420.00 ,$436.30 ,$415.71 
16-12-24,$463.02 ,114083800,$441.09 ,$463.19 ,$436.15 
17-12-24,$479.86 ,131223000,$475.90 ,$483.99 ,$457.51 
18-12-24,$440.13 ,149340800,$466.50 ,$488.54 ,$427.01 
19-12-24,$436.17 ,118566100,$451.88 ,$456.36 ,$420.02 
20-12-24,$421.06 ,132216200,$425.51 ,$447.08 ,$417.64 
23-12-24,$430.60 ,72698060,$431.00 ,$434.51 ,$415.41 
24-12-24,$462.28 ,59551750,$435.90 ,$462.78 ,$435.14 
26-12-24,$454.13 ,76651210,$465.16 ,$465.33 ,$451.02 
27-12-24,$431.66 ,82666820,$449.52 ,$450.00 ,$426.50 
30-12-24,$417.41 ,64941010,$419.40 ,$427.00 ,$415.75 
31-12-24,$403.84 ,76825120,$423.79 ,$427.93 ,$402.54 
